domain_1	domain_2
PF00763	PF01288
PF00042	PF16731
PF00069	PF05706
PF18225	PF18225
PF00069	PF03234
PF02237	PF03099
PF03359	PF03359
PF01353	PF13857
PF02350	PF02350
PF02265	PF02265
PF08993	PF08994
PF01262	PF05222
PF02372	PF09238
PF01198	PF01981
PF05327	PF11781
PF08331	PF13484
PF12796	PF17862
PF04097	PF04097
PF11754	PF11754
PF06827	PF08264
PF13395	PF18541
PF02969	PF04494
PF07503	PF17788
PF00011	PF00249
PF07654	PF13895
PF01715	PF01715
PF07894	PF07894
PF05743	PF05743
PF00109	PF00501
PF01589	PF01589
PF06372	PF06372
PF00009	PF09173
PF01193	PF02150
PF15432	PF16993
PF00800	PF00800
PF00271	PF02847
PF03119	PF12826
PF00069	PF16517
PF06646	PF06646
PF17125	PF17126
PF07527	PF07527
PF04729	PF12619
PF18252	PF18252
PF01293	PF01293
PF02836	PF17753
PF08375	PF13012
PF06748	PF06748
PF01191	PF04997
PF00046	PF03166
PF00462	PF01722
PF00990	PF00990
PF00856	PF18264
PF02348	PF02348
PF00128	PF18033
PF04512	PF04512
PF01353	PF12796
PF00146	PF00361
PF00067	PF00668
PF00871	PF01326
PF12424	PF13499
PF00583	PF13193
PF06384	PF06384
PF05221	PF05221
PF00664	PF00664
PF09112	PF09113
PF09344	PF09704
PF02435	PF02435
PF01365	PF02815
PF00912	PF00912
PF18397	PF18397
PF00326	PF12146
PF00318	PF00380
PF13520	PF13520
PF00089	PF09396
PF00129	PF07686
PF00679	PF07299
PF00888	PF12755
PF04695	PF04695
PF00479	PF02781
PF00728	PF03174
PF02271	PF05365
PF00338	PF00338
PF07678	PF17789
PF00025	PF16213
PF07856	PF07856
PF00400	PF04427
PF00034	PF03150
PF11969	PF11969
PF00156	PF09182
PF01258	PF05000
PF06415	PF06415
PF11506	PF11506
PF08329	PF08329
PF11987	PF11987
PF00165	PF00165
PF00084	PF00092
PF08361	PF08361
PF04190	PF16843
PF00237	PF08053
PF06215	PF06215
PF09481	PF09481
PF07065	PF09173
PF08516	PF08516
PF01237	PF01237
PF01435	PF16491
PF10528	PF10528
PF01340	PF02219
PF00333	PF10484
PF08544	PF08544
PF03980	PF08641
PF00867	PF01992
PF00514	PF01138
PF04738	PF14028
PF00226	PF01556
PF01425	PF02686
PF17475	PF17476
PF01839	PF08441
PF00387	PF00788
PF11598	PF11598
PF00628	PF01426
PF05790	PF07679
PF16874	PF16875
PF02171	PF16486
PF03587	PF05291
PF00498	PF00498
PF01193	PF01194
PF09214	PF09214
PF02531	PF03244
PF00571	PF01749
PF02312	PF02312
PF00313	PF00313
PF00036	PF00627
PF05270	PF05270
PF16639	PF16639
PF00827	PF01158
PF00225	PF16796
PF16999	PF18274
PF06890	PF06890
PF00271	PF01909
PF04014	PF04014
PF13181	PF13432
PF00552	PF00607
PF00570	PF00570
PF00096	PF13894
PF08606	PF08606
PF01447	PF02868
PF00202	PF00202
PF04053	PF08752
PF00056	PF00393
PF06821	PF06821
PF03484	PF17759
PF03223	PF03224
PF00885	PF01741
PF00533	PF01189
PF00128	PF16561
PF00042	PF00042
PF00070	PF02852
PF01570	PF01570
PF00172	PF00172
PF01813	PF01813
