domain_1	domain_2
PF09325	PF09325
PF00439	PF00628
PF01244	PF01244
PF01821	PF07677
PF00171	PF01575
PF08512	PF08512
PF13424	PF12895
PF01269	PF04410
PF11864	PF11864
PF07677	PF07678
PF00562	PF04566
PF00023	PF09596
PF01496	PF01991
PF12796	PF16179
PF08585	PF01131
PF13306	PF07679
PF07686	PF00048
PF00271	PF00488
PF01423	PF01096
PF00244	PF00318
PF00413	PF07686
PF00054	PF13895
PF00009	PF01423
PF00623	PF02150
PF13894	PF00096
PF00144	PF00144
PF01191	PF02150
PF00957	PF00995
PF02852	PF00076
PF09047	PF00319
PF01351	PF08615
PF03947	PF00410
PF06058	PF06058
PF07653	PF00621
PF00453	PF00542
PF00996	PF00996
PF00289	PF01039
PF06487	PF16294
PF01193	PF00271
PF01247	PF00467
PF00917	PF00020
PF00240	PF00521
PF00105	PF00076
PF00611	PF00069
PF00032	PF00355
PF00400	PF05291
PF00833	PF00253
PF05091	PF05091
PF00167	PF07679
PF01120	PF16757
PF04758	PF00164
PF00447	PF00071
PF00226	PF00249
PF00400	PF01466
PF01833	PF07686
PF02874	PF00006
PF03372	PF11976
PF14670	PF07645
PF08145	PF01248
PF01246	PF01929
PF00027	PF00027
PF00305	PF01477
PF00179	PF05773
PF08569	PF08569
PF16415	PF00271
PF16589	PF16589
PF05652	PF05652
PF00001	PF00017
PF00023	PF00071
PF00827	PF01282
PF00888	PF10557
PF00830	PF00252
PF00630	PF08725
PF04983	PF02150
PF00466	PF00542
PF01269	PF00400
PF00069	PF00575
PF00620	PF00149
PF05383	PF00076
PF08241	PF08241
PF00048	PF12109
PF00160	PF00036
PF17135	PF01282
PF00443	PF08209
PF03643	PF03643
PF03849	PF18307
PF07965	PF08441
PF13857	PF00412
PF00628	PF00125
PF02319	PF00134
PF13895	PF07686
PF04053	PF00400
PF02141	PF03456
PF12940	PF03089
PF08920	PF00076
PF01259	PF01808
PF05033	PF05033
PF13540	PF00415
PF04563	PF00125
PF02937	PF00116
PF04146	PF04146
PF04565	PF04567
PF09030	PF08563
PF00501	PF01553
PF08644	PF08512
PF06367	PF06367
PF12937	PF12937
PF00069	PF00838
PF13181	PF00008
PF03178	PF03226
PF02213	PF02966
PF00236	PF00007
PF00832	PF01092
PF01851	PF01398
PF01602	PF14806
PF00625	PF07653
PF02668	PF06155
PF00416	PF03297
PF12940	PF12940
PF09240	PF18001
PF14204	PF17144
PF00004	PF00240
PF03144	PF09173
PF01253	PF00108
PF02825	PF13920
PF02136	PF02136
PF00240	PF13445
PF09358	PF00179
PF10018	PF05983
PF00900	PF16121
PF15177	PF15177
PF10409	PF00782
PF00830	PF01196
PF03357	PF03357
PF04253	PF04253
PF06068	PF00271
PF07703	PF00084
PF13949	PF03097
PF01835	PF01835
PF08148	PF08148
PF04095	PF17956
PF00170	PF00125
PF00591	PF07831
PF00270	PF17911
PF04998	PF01193
